0,,Артикул,Наименование,"РРЦ Wildberries, руб","РРЦ, руб","Кол-во в упаковке, шт","Вес, кг","Объем, м3",Штрихкод
53,,PBM20H-10B,"Дрель аккумуляторная PBM20H-10B SOLO (20В, 30Нм, патрон 10 мм, 2ск, коробка)",2305,2150,0,0,0,6926619728378
54,,PIW20H-300B,"Гайковерт ударный бесщеточный аккум PIW20H-300B SOLO (20В, 300Нм,квадрат 1/2"" и шестигран,коробка)",4910,4585,0,0,0,
55,,PSB20H-10C,"Дрель ударная бесщет аккумуляторная PSB20H-10C X-DRIVER SOLO (20В, 40Нм, патрон 10 мм, 2ск, коробка)",4370,4080,0,0,0,6926619728446
56,,PSB20H-13D,"Дрель ударная бесщет аккумуляторная PSB20H-13D X-DRIVER SOLO (20В, 75Нм, мет патрон13мм, 2ск,короб)",5885,5500,0,2.02,0.005,6926619728422
57,,PSB20H-13C,"Дрель ударная бесщет аккумуляторная PSB20H-13C X-DRIVER SOLO (20В, 110Нм, мет патрон 13мм, 2ск,кор)",6655,6215,0,2.28,0.006,6926619728415
58,,PBM20H-10C,"Дрель аккумуляторная PBM20H-10C SOLO (20В, 28Нм, патрон 10 мм, 2ск, коробка)",0,0,0,0,0,
59,,PIW20H-300A/1,"Гайковерт ударный бесщеточный аккум. PIW20H-300A/1 (20В,300Нм,квадр.1/2"",1акб Li-Ion 2Ач,ЗУ 3А,кейс)",9040,8445,5,3.32,0.009,6971810444725
60,,PSB20H-13B/1,"Аккумуляторная ударная дрель PSB20H-13B/1 (20В,75Нм, бесщет дв.мет патр.13 мм, 2ск, 1акб2Ач,ЗУ,кейс)",9525,8900,5,3.76,0.011,6971810444718
61,,PSB20H-13A/1,"Аккумуляторная ударная дрель PSB20H-13A/1 (20В, 48Нм, мет патр. 13 мм, 2ск, 1акб 2Ач, ЗУ 3А,кейс)",7480,6990,5,3.44,0.011,6971810444701
62,,PSB20H-10B/1,"Аккумуляторная ударная дрель PSB20H-10B/1 (20В, 38Нм, бесщет дв. патр.10 мм, 2ск, 1акб 2Ач,ЗУ,кейс)",8000,7475,5,3.52,0.011,6971810444695
63,,PBM20H-10A/1,"Аккумуляторная дрель PBM20H-10A/1 (20В, 28Нм, патр.10 мм, 2ск, 1акб Li-Ion 2Ач, ЗУ 3А, кейс)",5820,5435,5,2.8,0.009,6971810444640
64,,,Садовая техника,,,,,,
65,,PTR20H-250A/1,"Триммер аккумуляторный PTR20H-250A/1 (20В, шир.кош-ия 250, леска 1,6мм, 1АКБ 2Ач, ЗУ) 4 шт",7295,6815,4,3.22,0.02,6971810444022
66,,PLM20H-330A/1,"Газонокосилка аккум. PLM20H-330A/1 (20В, шир кош 330мм, выс. кош 25-75мм, трав 30л. 1АКБ 4Ач, ЗУ1)",17055,15935,0,13,0.095,6971810444015
67,,PLM20H-330B,"Газонокосилка аккум. PLM20H-330B SOLO (20В, шир кош 330мм, выс. кош 25-75мм, трав 30л. без АКБ и ЗУ)",0,0,0,0,0,6926619728545
